iter	Passed	Remaining
391	3163	8942
392	3170	8931
393	3178	8922
394	3185	8911
395	3193	8903
396	3203	8899
397	3211	8892
398	3220	8886
399	3229	8879
400	3236	8870
401	3244	8861
402	3252	8854
403	3262	8851
404	3270	8841
405	3279	8835
406	3287	8829
407	3297	8825
408	3305	8818
409	3314	8810
410	3324	8807
411	3332	8801
412	3341	8793
413	3348	8784
414	3357	8779
415	3366	8772
416	3375	8766
417	3385	8763
418	3393	8754
419	3402	8749
420	3410	8741
421	3419	8735
422	3427	8726
423	3434	8716
424	3442	8708
425	3452	8703
426	3460	8696
427	3469	8691
428	3479	8686
429	3487	8679
430	3497	8675
431	3505	8667
432	3513	8658
433	3523	8653
434	3532	8648
435	3541	8641
436	3549	8634
437	3558	8627
438	3566	8619
439	3573	8608
440	3582	8601
441	3590	8594
442	3599	8587
443	3608	8582
444	3618	8578
445	3626	8570
446	3636	8565
447	3645	8559
448	3654	8553
449	3662	8546
450	3672	8541
451	3680	8533
452	3689	8527
453	3699	8523
454	3708	8518
455	3718	8512
456	3727	8506
457	3735	8499
458	3744	8492
459	3754	8487
460	3762	8480
461	3771	8473
462	3780	8466
463	3788	8459
464	3797	8452
465	3805	8443
466	3813	8435
467	3822	8429
468	3832	8424
469	3841	8419
470	3850	8412
471	3859	8405
472	3868	8400
473	3877	8392
474	3886	8387
475	3895	8381
476	3905	8376
477	3914	8370
478	3924	8364
479	3932	8357
480	3940	8348
481	3950	8343
482	3958	8335
483	3968	8329
484	3976	8322
485	3983	8311
486	3993	8306
487	4001	8298
488	4011	8293
489	4019	8284
490	4028	8278
491	4038	8273
492	4046	8265
493	4055	8258
494	4062	8248
495	4071	8241
496	4079	8231
497	4088	8225
498	4096	8218
499	4106	8213
500	4115	8206
501	4124	8199
502	4134	8195
503	4143	8189
504	4152	8182
505	4161	8175
506	4170	8169
507	4180	8162
508	4188	8154
509	4196	8145
510	4206	8141
511	4215	8135
512	4225	8130
513	4234	8122
514	4244	8117
515	4251	8107
516	4259	8099
517	4267	8090
518	4276	8083
519	4285	8076
520	4294	8068
521	4302	8061
522	4310	8051
523	4318	8044
524	4326	8035
525	4335	8027
526	4344	8021
527	4354	8015
528	4363	8009
529	4373	8003
530	4382	7996
531	4390	7989
532	4399	7981
533	4408	7975
534	4417	7968
535	4425	7959
536	4435	7953
537	4443	7944
538	4451	7936
539	4461	7930
540	4469	7923
541	4479	7917
542	4488	7911
543	4498	7904
544	4507	7897
545	4515	7889
546	4525	7883
547	4533	7876
548	4541	7867
549	4551	7861
550	4560	7853
551	4569	7847
552	4579	7841
553	4588	7835
554	4598	7829
555	4605	7819
556	4613	7810
557	4623	7804
558	4632	7798
559	4640	7789
560	4649	7782
561	4658	7774
562	4666	7766
563	4674	7756
564	4681	7747
565	4690	7740
566	4698	7731
567	4706	7722
568	4715	7714
569	4723	7706
570	4732	7700
571	4741	7692
572	4749	7684
573	4757	7675
574	4766	7667
575	4776	7662
576	4786	7656
577	4794	7648
578	4803	7640
579	4811	7631
580	4819	7622
581	4827	7614
582	4836	7607
583	4844	7598
584	4851	7588
585	4860	7581
586	4868	7572
587	4877	7564
588	4885	7556
589	4892	7545
590	4902	7539
591	4910	7531
592	4920	7526
593	4930	7520
594	4938	7510
595	4945	7501
596	4953	7492
597	4961	7484
598	4969	7475
599	4978	7467
600	4987	7459
601	4995	7452
602	5003	7443
603	5014	7438
604	5027	7436
605	5042	7439
606	5055	7438
607	5065	7431
608	5076	7426
609	5085	7419
610	5094	7412
611	5102	7404
612	5111	7396
613	5122	7391
614	5132	7385
615	5140	7377
616	5148	7367
617	5156	7358
618	5164	7350
619	5173	7343
620	5182	7335
621	5190	7326
622	5198	7317
623	5206	7308
624	5214	7299
625	5222	7291
626	5232	7285
627	5241	7278
628	5251	7271
629	5259	7262
630	5266	7253
631	5275	7245
632	5283	7237
633	5293	7230
634	5302	7223
635	5311	7215
636	5320	7207
637	5329	7200
638	5337	7191
639	5346	7183
640	5353	7174
641	5362	7167
642	5371	7159
643	5378	7149
644	5386	7140
645	5396	7133
646	5405	7126
647	5414	7118
648	5422	7110
649	5431	7102
650	5439	7094
651	5447	7085
652	5457	7079
653	5467	7072
654	5475	7063
655	5484	7056
656	5491	7046
657	5501	7039
658	5512	7034
659	5521	7027
660	5530	7020
661	5539	7012
662	5547	7003
663	5556	6995
664	5564	6986
665	5573	6979
666	5581	6971
667	5592	6965
668	5604	6962
669	5614	6955
670	5625	6950
671	5637	6945
672	5647	6940
673	5657	6933
674	5667	6927
675	5677	6920
676	5688	6914
677	5698	6908
678	5708	6901
679	5719	6897
680	5729	6890
681	5739	6884
682	5750	6878
683	5759	6871
684	5770	6866
685	5780	6859
686	5790	6852
687	5799	6844
688	5810	6839
689	5819	6831
690	5830	6825
691	5839	6818
692	5848	6811
693	5860	6806
694	5873	6802
695	5884	6798
696	5895	6791
697	5903	6783
698	5913	6776
699	5921	6767
700	5930	6759
701	5939	6751
702	5947	6743
703	5957	6735
704	5964	6726
705	5973	6718
706	5981	6709
707	5990	6700
708	5999	6693
709	6008	6685
710	6018	6678
711	6027	6670
712	6035	6662
713	6045	6655
714	6052	6645
715	6061	6637
716	6070	6629
717	6080	6621
718	6088	6613
719	6096	6604
720	6106	6597
721	6116	6590
722	6126	6583
723	6134	6575
724	6142	6566
725	6149	6555
726	6157	6547
727	6165	6537
728	6173	6529
729	6180	6519
730	6188	6509
731	6195	6500
732	6204	6492
733	6213	6484
734	6221	6475
735	6231	6468
736	6242	6463
737	6252	6455
738	6260	6447
739	6268	6438
740	6277	6430
741	6285	6421
742	6294	6413
743	6303	6405
744	6313	6397
745	6322	6390
746	6330	6381
747	6338	6372
748	6346	6363
749	6356	6356
750	6364	6347
751	6373	6339
752	6381	6330
753	6389	6321
754	6397	6312
755	6406	6304
756	6414	6295
757	6421	6286
758	6431	6279
759	6440	6270
760	6449	6262
761	6456	6253
762	6464	6244
763	6472	6235
764	6481	6227
765	6489	6218
766	6498	6210
767	6507	6202
768	6516	6194
769	6525	6186
770	6532	6176
771	6540	6168
772	6550	6160
773	6555	6148
774	6563	6139
775	6570	6130
776	6579	6122
777	6589	6115
778	6596	6105
779	6604	6096
780	6613	6088
781	6623	6081
782	6632	6073
783	6642	6066
784	6651	6058
785	6659	6049
786	6667	6040
787	6676	6032
788	6684	6023
789	6694	6016
790	6703	6008
791	6713	6001
792	6722	5993
793	6731	5985
794	6740	5977
795	6748	5968
796	6755	5958
797	6764	5950
798	6773	5943
799	6782	5935
800	6790	5926
801	6799	5917
802	6808	5910
803	6818	5902
804	6827	5894
805	6836	5886
806	6844	5878
807	6855	5871
808	6864	5863
809	6873	5855
810	6882	5847
811	6893	5840
812	6903	5833
813	6912	5825
814	6920	5816
815	6930	5809
816	6939	5800
817	6947	5792
818	6956	5784
819	6966	5776
820	6974	5768
821	6982	5759
822	6991	5751
823	7001	5743
824	7009	5734
825	7017	5726
826	7026	5718
827	7035	5710
828	7043	5701
829	7052	5692
830	7061	5684
831	7070	5676
832	7078	5668
833	7087	5660
834	7097	5652
835	7107	5644
836	7116	5637
837	7126	5629
838	7134	5620
839	7143	5612
840	7151	5604
841	7160	5596
842	7169	5587
843	7179	5580
844	7187	5571
845	7196	5562
846	7204	5553
847	7211	5544
848	7221	5537
849	7229	5528
850	7239	5520
851	7247	5512
852	7255	5503
853	7264	5495
854	7273	5487
855	7281	5478
856	7290	5469
857	7300	5462
858	7308	5453
859	7318	5446
860	7328	5438
861	7336	5429
862	7343	5420
863	7353	5412
864	7362	5404
865	7372	5397
866	7381	5389
867	7389	5380
868	7399	5372
869	7408	5364
870	7416	5355
871	7425	5347
872	7433	5339
873	7441	5330
874	7449	5320
875	7457	5312
876	7465	5303
877	7474	5294
878	7482	5285
879	7491	5277
880	7500	5270
881	7511	5263
882	7520	5255
883	7528	5246
884	7538	5238
885	7547	5230
886	7555	5221
887	7562	5212
888	7570	5203
889	7579	5194
890	7588	5186
891	7597	5178
892	7604	5168
893	7613	5161
894	7622	5152
895	7630	5143
896	7639	5135
897	7647	5126
898	7655	5118
899	7665	5110
900	7673	5101
901	7680	5092
902	7689	5083
903	7697	5074
904	7706	5066
905	7714	5057
906	7721	5048
907	7730	5040
908	7738	5031
909	7746	5022
910	7755	5014
911	7763	5005
912	7771	4996
913	7779	4987
914	7787	4978
915	7796	4970
916	7805	4962
917	7813	4953
918	7821	4944
919	7830	4936
920	7838	4927
921	7847	4919
922	7856	4911
923	7865	4903
924	7873	4894
925	7882	4886
926	7891	4878
927	7899	4869
928	7907	4860
929	7916	4852
930	7925	4843
931	7933	4834
932	7942	4826
933	7951	4818
934	7960	4810
935	7970	4802
936	7977	4793
937	7986	4785
938	7996	4777
939	8005	4769
940	8013	4760
941	8022	4752
942	8031	4743
943	8039	4735
944	8049	4727
945	8057	4718
946	8066	4710
947	8074	4701
948	8083	4693
949	8091	4684
950	8100	4676
951	8109	4667
952	8118	4659
953	8127	4651
954	8136	4643
955	8145	4635
956	8153	4626
957	8162	4618
958	8171	4609
959	8179	4600
960	8188	4592
961	8197	4584
962	8206	4576
963	8215	4567
964	8223	4559
965	8231	4550
966	8240	4541
967	8249	4534
968	8258	4525
969	8267	4517
970	8276	4508
971	8284	4500
972	8294	4492
973	8302	4483
974	8311	4475
975	8320	4467
976	8329	4458
977	8339	4451
978	8348	4442
979	8355	4433
980	8364	4425
981	8371	4415
982	8380	4407
983	8388	4399
984	8397	4390
985	8404	4381
986	8414	4373
987	8423	4365
988	8431	4356
989	8439	4347
990	8446	4338
991	8455	4330
992	8464	4321
993	8472	4313
994	8481	4304
995	8490	4296
996	8498	4287
997	8507	4279
998	8515	4270
999	8524	4262
1000	8532	4253
1001	8540	4244
1002	8548	4236
1003	8556	4227
1004	8564	4218
1005	8571	4209
1006	8579	4200
1007	8587	4191
1008	8595	4182
1009	8601	4173
1010	8610	4164
1011	8619	4156
1012	8627	4147
1013	8635	4139
1014	8643	4130
1015	8652	4121
1016	8661	4113
1017	8669	4104
1018	8680	4097
1019	8689	4089
1020	8698	4080
1021	8707	4072
1022	8714	4063
1023	8723	4055
1024	8731	4046
1025	8741	4038
1026	8749	4029
1027	8758	4021
1028	8766	4012
1029	8775	4004
1030	8783	3995
1031	8791	3986
1032	8799	3978
1033	8808	3969
1034	8816	3961
1035	8825	3952
1036	8834	3944
1037	8843	3936
1038	8851	3927
1039	8859	3918
1040	8868	3910
1041	8875	3901
1042	8884	3892
1043	8891	3883
1044	8900	3875
1045	8908	3866
1046	8916	3857
1047	8924	3849
1048	8932	3840
1049	8941	3832
1050	8949	3823
1051	8956	3814
1052	8965	3805
1053	8974	3797
1054	8982	3788
1055	8990	3780
1056	8999	3771
1057	9008	3763
1058	9016	3754
1059	9024	3746
1060	9031	3737
1061	9039	3728
1062	9047	3719
1063	9055	3710
1064	9062	3701
1065	9070	3692
1066	9078	3684
1067	9085	3674
1068	9094	3666
1069	9102	3658
1070	9110	3649
1071	9119	3640
1072	9126	3631
1073	9133	3622
1074	9141	3614
1075	9149	3605
1076	9157	3596
1077	9166	3588
1078	9173	3579
1079	9179	3569
1080	9188	3561
1081	9196	3552
1082	9205	3544
1083	9214	3536
1084	9222	3527
1085	9230	3518
1086	9239	3510
1087	9247	3501
1088	9256	3493
1089	9264	3484
1090	9273	3476
1091	9281	3467
1092	9290	3459
1093	9298	3450
1094	9306	3442
1095	9315	3433
1096	9324	3425
1097	9332	3416
1098	9342	3408
1099	9351	3400
1100	9358	3391
1101	9366	3382
1102	9375	3374
1103	9383	3365
1104	9393	3357
1105	9400	3348
1106	9409	3340
1107	9415	3331
1108	9424	3322
1109	9432	3314
1110	9440	3305
1111	9448	3296
1112	9456	3288
1113	9467	3280
1114	9475	3271
1115	9483	3263
1116	9492	3254
1117	9500	3246
1118	9509	3237
1119	9517	3229
1120	9525	3220
1121	9533	3211
1122	9543	3203
1123	9552	3195
1124	9560	3186
1125	9570	3178
1126	9578	3170
1127	9587	3161
1128	9596	3153
1129	9604	3144
1130	9613	3136
1131	9622	3128
1132	9631	3119
1133	9641	3111
1134	9650	3103
1135	9657	3094
1136	9665	3085
1137	9674	3077
1138	9683	3068
1139	9692	3060
1140	9700	3052
1141	9709	3043
1142	9718	3035
1143	9726	3026
1144	9735	3018
1145	9745	3010
1146	9754	3002
1147	9763	2993
1148	9771	2984
1149	9778	2975
1150	9787	2967
1151	9795	2959
1152	9804	2950
1153	9811	2941
1154	9819	2933
1155	9828	2924
1156	9838	2916
1157	9847	2908
1158	9854	2899
1159	9864	2891
1160	9872	2882
1161	9882	2874
1162	9889	2865
1163	9898	2857
1164	9906	2848
1165	9914	2840
1166	9923	2831
1167	9932	2823
1168	9941	2814
1169	9951	2806
1170	9959	2798
1171	9969	2790
1172	9978	2781
1173	9987	2773
1174	9995	2764
1175	10005	2756
1176	10012	2747
1177	10019	2738
1178	10027	2730
1179	10036	2721
1180	10044	2713
1181	10053	2704
1182	10062	2696
1183	10069	2687
1184	10077	2678
1185	10084	2669
1186	10093	2661
1187	10102	2653
1188	10110	2644
1189	10118	2635
1190	10127	2627
1191	10136	2619
1192	10145	2610
1193	10155	2602
1194	10163	2594
1195	10171	2585
1196	10180	2577
1197	10190	2568
1198	10197	2559
1199	10206	2551
1200	10214	2542
1201	10224	2534
1202	10232	2526
1203	10241	2517
1204	10250	2509
1205	10258	2500
1206	10267	2492
1207	10276	2484
1208	10285	2475
1209	10294	2467
1210	10302	2458
1211	10311	2450
1212	10320	2441
1213	10329	2433
1214	10337	2424
1215	10346	2416
1216	10354	2407
1217	10363	2399
1218	10372	2390
1219	10379	2382
1220	10387	2373
1221	10396	2365
1222	10405	2356
1223	10413	2348
1224	10421	2339
1225	10430	2331
1226	10438	2322
1227	10447	2314
1228	10456	2305
1229	10465	2297
1230	10474	2288
1231	10483	2280
1232	10491	2271
1233	10499	2263
1234	10508	2254
1235	10517	2246
1236	10525	2237
1237	10533	2229
1238	10543	2220
1239	10551	2212
1240	10560	2203
1241	10569	2195
1242	10578	2187
1243	10586	2178
1244	10595	2170
1245	10604	2161
1246	10611	2152
1247	10619	2144
1248	10629	2136
1249	10639	2127
1250	10648	2119
1251	10656	2110
1252	10664	2102
1253	10673	2093
1254	10681	2085
1255	10690	2076
1256	10699	2068
1257	10708	2059
1258	10715	2051
1259	10723	2042
1260	10733	2034
1261	10742	2025
1262	10751	2017
1263	10758	2008
1264	10768	2000
1265	10776	1991
1266	10785	1983
1267	10795	1975
1268	10803	1966
1269	10812	1958
1270	10819	1949
1271	10826	1940
1272	10835	1932
1273	10844	1923
1274	10852	1915
1275	10863	1907
1276	10871	1898
1277	10878	1889
1278	10886	1881
1279	10894	1872
1280	10903	1863
1281	10913	1855
1282	10921	1847
1283	10929	1838
1284	10938	1830
1285	10946	1821
1286	10954	1813
1287	10964	1804
1288	10973	1796
1289	10983	1787
1290	10993	1779
1291	11003	1771
1292	11012	1762
1293	11019	1754
1294	11027	1745
1295	11037	1737
1296	11045	1728
1297	11051	1719
1298	11059	1711
1299	11068	1702
1300	11076	1694
1301	11085	1685
1302	11094	1677
1303	11103	1668
1304	11110	1660
1305	11120	1651
1306	11128	1643
1307	11136	1634
1308	11145	1626
1309	11153	1617
1310	11163	1609
1311	11172	1600
1312	11180	1592
1313	11189	1583
1314	11197	1575
1315	11205	1566
1316	11214	1558
1317	11223	1549
1318	11232	1541
1319	11242	1533
1320	11249	1524
1321	11257	1515
1322	11267	1507
1323	11275	1498
1324	11283	1490
1325	11292	1481
1326	11301	1473
1327	11310	1464
1328	11319	1456
1329	11328	1447
1330	11337	1439
1331	11346	1431
1332	11355	1422
1333	11362	1413
1334	11370	1405
1335	11379	1396
1336	11387	1388
1337	11394	1379
1338	11403	1371
1339	11409	1362
1340	11417	1353
1341	11426	1345
1342	11435	1336
1343	11442	1328
1344	11451	1319
1345	11459	1311
1346	11469	1302
1347	11476	1294
1348	11484	1285
1349	11494	1277
1350	11502	1268
1351	11512	1260
1352	11521	1251
1353	11531	1243
1354	11539	1234
1355	11550	1226
1356	11559	1218
1357	11566	1209
1358	11574	1200
1359	11581	1192
1360	11590	1183
1361	11599	1175
1362	11608	1166
1363	11618	1158
1364	11627	1149
1365	11636	1141
1366	11645	1133
1367	11654	1124
1368	11663	1116
1369	11672	1107
1370	11680	1099
1371	11689	1090
1372	11698	1082
1373	11706	1073
1374	11715	1065
1375	11724	1056
1376	11732	1048
1377	11739	1039
1378	11749	1030
1379	11759	1022
1380	11769	1014
1381	11779	1005
1382	11787	997
1383	11797	988
1384	11806	980
1385	11816	971
1386	11822	963
1387	11830	954
1388	11838	946
1389	11847	937
1390	11856	929
1391	11865	920
1392	11873	912
1393	11882	903
1394	11892	895
1395	11899	886
1396	11909	878
1397	11917	869
1398	11925	860
1399	11934	852
1400	11944	844
1401	11953	835
1402	11962	827
1403	11972	818
1404	11979	809
1405	11987	801
1406	11994	792
1407	12005	784
1408	12014	775
1409	12023	767
1410	12032	758
1411	12042	750
1412	12050	741
1413	12061	733
1414	12069	725
1415	12078	716
1416	12087	708
1417	12096	699
1418	12104	690
1419	12111	682
1420	12120	673
1421	12128	665
1422	12137	656
1423	12145	648
1424	12153	639
1425	12161	631
1426	12170	622
1427	12178	614
1428	12187	605
1429	12195	596
1430	12204	588
1431	12210	579
1432	12219	571
1433	12227	562
1434	12236	554
1435	12246	545
1436	12255	537
1437	12264	528
1438	12272	520
1439	12280	511
1440	12290	503
1441	12300	494
1442	12309	486
1443	12319	477
1444	12328	469
1445	12337	460
1446	12345	452
1447	12353	443
1448	12362	435
1449	12371	426
1450	12377	417
1451	12386	409
1452	12394	400
1453	12402	392
1454	12410	383
1455	12418	375
1456	12428	366
1457	12436	358
1458	12445	349
1459	12455	341
1460	12464	332
1461	12472	324
1462	12482	315
1463	12491	307
1464	12499	298
1465	12509	290
1466	12519	281
1467	12529	273
1468	12539	264
1469	12548	256
1470	12556	247
1471	12564	238
1472	12574	230
1473	12581	221
1474	12589	213
1475	12598	204
1476	12607	196
1477	12616	187
1478	12623	179
1479	12633	170
1480	12641	162
1481	12649	153
1482	12658	145
1483	12666	136
1484	12676	128
1485	12686	119
1486	12695	110
1487	12703	102
1488	12712	93
1489	12720	85
1490	12729	76
1491	12739	68
1492	12747	59
1493	12756	51
1494	12765	42
1495	12773	34
1496	12782	25
1497	12790	17
1498	12799	8
1499	12809	0
